iter	Passed	Remaining
859	12002	1953
860	12012	1939
861	12020	1924
862	12027	1909
863	12038	1895
864	12044	1879
865	12050	1864
866	12058	1849
867	12064	1834
868	12070	1819
869	12077	1804
870	12082	1789
871	12088	1774
872	12094	1759
873	12099	1744
874	12107	1729
875	12112	1714
876	12118	1699
877	12124	1684
878	12130	1669
879	12136	1655
880	12142	1640
881	12147	1625
882	12153	1610
883	12158	1595
884	12163	1580
885	12169	1565
886	12175	1551
887	12181	1536
888	12187	1521
889	12192	1506
890	12197	1492
891	12203	1477
892	12208	1462
893	12213	1448
894	12228	1434
895	12241	1420
896	12250	1406
897	12257	1392
898	12262	1377
899	12269	1363
900	12274	1348
901	12279	1334
902	12284	1319
903	12290	1305
904	12295	1290
905	12300	1276
906	12306	1261
907	12313	1247
908	12320	1233
909	12326	1219
910	12332	1204
911	12339	1190
912	12344	1176
913	12351	1162
914	12358	1148
915	12364	1133
916	12373	1119
917	12379	1105
918	12387	1091
919	12394	1077
920	12404	1063
921	12410	1049
922	12418	1036
923	12425	1021
924	12432	1008
925	12437	993
926	12442	979
927	12448	965
928	12454	951
929	12459	937
930	12467	924
931	12473	910
932	12481	896
933	12487	882
934	12494	868
935	12502	854
936	12509	841
937	12519	827
938	12526	813
939	12533	799
940	12539	786
941	12548	772
942	12555	758
943	12562	745
944	12568	731
945	12575	717
946	12582	704
947	12588	690
948	12594	676
949	12599	663
950	12604	649
951	12610	635
952	12615	622
953	12620	608
954	12626	594
955	12631	581
956	12636	567
957	12643	554
958	12649	540
959	12655	527
960	12663	513
961	12670	500
962	12678	487
963	12684	473
964	12692	460
965	12698	446
966	12704	433
967	12712	420
968	12719	406
969	12730	393
970	12737	380
971	12745	367
972	12753	353
973	12761	340
974	12769	327
975	12778	314
976	12785	300
977	12793	287
978	12801	274
979	12808	261
980	12817	248
981	12825	235
982	12832	221
983	12839	208
984	12846	195
985	12852	182
986	12861	169
987	12871	156
988	12878	143
989	12884	130
990	12892	117
991	12899	104
992	12908	90
993	12916	77
994	12929	64
995	12939	51
996	12949	38
997	12961	25
998	12972	12
999	12981	0
